Nazwa szkoły/ jednostki,Typ placówki,Dzielnica,Adres,Telefon,WWW,E-mail
"CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego ""Grota""",liceum ogólnokształcące,Ochota,ul. Józefa Siemieńskiego 6,228223129,www.160lo.pl,poczta.lo160@eduwarszawa.pl
LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,liceum ogólnokształcące,Ochota,ul. Stanisława Skarżyńskiego 8,228229989,lo69.pl,sekretariat.lo69@eduwarszawa.pl
XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,liceum ogólnokształcące,Ochota,ul. Barska 32,228220658,lo48.waw.pl,kontakt.lo48@eduwarszawa.pl
XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,liceum ogólnokształcące,Ochota,ul. Grójecka 93,228222102,www.21lo.waw.pl,hugo@21lo.waw.pl
XIV Liceum Ogólnokształcące im. Stanisława Staszica,liceum ogólnokształcące,Ochota,ul. Nowowiejska 37A,228251325,staszic.waw.pl,szkola@staszic.waw.pl
VII Liceum Ogólnokształcące im. Juliusza Słowackiego,liceum ogólnokształcące,Ochota,ul. Wawelska 46,228250553,www.liceum7.edu.pl,sekretariat.lo7@eduwarszawa.pl
XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,liceum ogólnokształcące,Praga Południe,ul. Fundamentowa 38/42,226719927,www.herbert99lo.edu.pl,sekretariat@herbert99lo.edu.pl
LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,liceum ogólnokształcące,Praga Południe,ul. Grochowska 346/348,226191360,jasinski.edu.pl,sekretariat@jasinski.edu.pl
XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,liceum ogólnokształcące,Praga Południe,ul. Międzyborska 64/70,228102201,www.47lo.waw.pl,lo47@eduwarszawa.pl
XXXV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bolesława Prusa,liceum ogólnokształcące,Praga Południe,ul. Zwycięzców 7/9,226177413,www.prus.edu.pl,sekretariat@prus.edu.pl
XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,liceum ogólnokształcące,Praga Południe,ul. Naddnieprzańska 2/4,225169161,www.liceum23.waw.pl,lo23@eduwarszawa.pl
XIX Liceum Ogólnokształcące im. Powstańców Warszawy,liceum ogólnokształcące,Praga Południe,ul. Zbaraska 1,228103829,www.lo19.pl,lo19@eduwarszawa.pl
IV Liceum Ogólnokształcące im. Adama Mickiewicza,liceum ogólnokształcące,Praga Południe,ul. Saska 59,226178583,www.mickiewicz.edu.pl,lo4@eduwarszawa.pl
LXXVI Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego,liceum ogólnokształcące,Praga Północ,ul. Kowelska 1,226193083,www.pilsudski.edu.pl,lo76@eduwarszawa.pl
VIII Liceum Ogólnokształcące im. Władysława IV,liceum ogólnokształcące,Praga Północ,ul. Jagiellońska 38,226192745,www.wladyslaw.edu.pl,lo8@eduwarszawa.pl
LI Liceum Ogólnokształcące im. Tadeusza Kościuszki,liceum ogólnokształcące,Rembertów,ul. Kadrowa 9,226119391,lilowarszawa.bip.gov.pl,lo51@eduwarszawa.pl
CLVII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,liceum ogólnokształcące,Śródmieście,ul. Świętokrzyska 18A,228269792,lo157.waw.pl,sekretariat.lo157@eduwarszawa.pl
LXXXI Liceum Ogólnokształcące im. Aleksandra Fredry,liceum ogólnokształcące,Śródmieście,ul. Miła 7,228311454,www.fredro.pl,lo81@eduwarszawa.pl
LXXV Liceum Ogólnokształcące im. Jana III Sobieskiego,liceum ogólnokształcące,Śródmieście,ul. Czerniakowska 128,228414266,www.sobieski.edu.pl,sekretariat@sobieski.edu.pl
LXVII Liceum Ogólnokształcące im. Jana Nowaka-Jeziorańskiego,liceum ogólnokształcące,Śródmieście,ul. Hoża 11/15,226297063,jezioranski.edu.pl,sekretariat@jezioranski.edu.pl
LXII Liceum Ogólnokształcące Mistrzostwa Sportowego im. Generała Broni Władysława Andersa,liceum ogólnokształcące,Śródmieście,ul. Konwiktorska 5/7,228316753,www.anders.edu.pl,sekretariat.anders@eduwarszawa.pl
XXXVII Liceum Ogólnokształcące im. Jarosława Dąbrowskiego,liceum ogólnokształcące,Śródmieście,ul. Świętokrzyska 1,228279577,www.dabrowski37lo.edu.pl,lo37@eduwarszawa.pl
XXVII Liceum Ogólnokształcące im. Tadeusza Czackiego,liceum ogólnokształcące,Śródmieście,ul. Polna 5,228250172,www.czacki.edu.pl,sekretariat.lo27@eduwarszawa.pl
XVIII Liceum Ogólnokształcące im. Jana Zamoyskiego,liceum ogólnokształcące,Śródmieście,ul. Smolna 30,228278949,www.zamoyski.edu.pl,zamoyski.lo18@eduwarszawa.pl
XVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Andrzeja Frycza Modrzewskiego,liceum ogólnokształcące,Śródmieście,ul. Elektoralna 5/7,226203833,frycz.edu.pl,lo17@eduwarszawa.pl
XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej,liceum ogólnokształcące,Śródmieście,ul. Klonowa 16,228493734,www.zmichowska.pl,sekretariat.lo15@eduwarszawa.pl
XI Liceum Ogólnokształcące im. Mikołaja Reja,liceum ogólnokształcące,Śródmieście,Plac Stanisława Małachowskiego 1,228276908,rej.edu.pl,liceum@rej.edu.pl
IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej,liceum ogólnokształcące,Śródmieście,ul. Hoża 88,226280545,www.hoffmanowa.pl,ixlo@hoffmanowa.pl
V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,liceum ogólnokształcące,Śródmieście,ul. Nowolipie 8,228314804,www.vlo.edu.pl,poniatowka@vlo.edu.pl
II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego,liceum ogólnokształcące,Śródmieście,ul. Myśliwiecka 6,226282101,www.batory.edu.pl,sekretariat@batory.edu.pl
CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana,liceum ogólnokształcące,Targówek,ul. Olgierda 35/41,225119500,lo137targowek.eduwarszawa.pl,sekretariat.lo137@eduwarszawa.pl
XLVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Czarnieckiego,liceum ogólnokształcące,Targówek,ul. Żuromińska 4,228110263,lo46targowek.eduwarszawa.pl,sekretariat.lo46@eduwarszawa.pl
XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,liceum ogólnokształcące,Targówek,ul. Oszmiańska 23/25,226793862,www.liceum13.edu.pl,sekretariat@liceum13.edu.pl
LVI Liceum Ogólnokształcące im. Rotmistrza Witolda Pileckiego,liceum ogólnokształcące,Ursus,ul. Dzieci Warszawy 42,226626412,www.56lo.waw.pl,sekretariat.lo56@eduwarszawa.pl
CLVIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Księżnej Izabeli Czartoryskiej,liceum ogólnokształcące,Ursynów,ul. Stefana Szolc-Rogozińskiego 2,,lo158.ursynow.warszawa.pl,lo158@eduwarszawa.pl
LXX Liceum Ogólnokształcące im. Aleksandra Kamińskiego,liceum ogólnokształcące,Ursynów,ul. Edwarda Dembowskiego 1,222594031,lo70.ursynow.warszawa.pl,lo70@eduwarszawa.pl
LXIII Liceum Ogólnokształcące im. Lajosa Kossutha,liceum ogólnokształcące,Ursynów,ul. Ludwika Hirszfelda 11,222594073,lo63.ursynow.warszawa.pl,lo63@eduwarszawa.pl
XXVI Liceum Ogólnokształcące im. Juliana Tuwima,liceum ogólnokształcące,Wawer,ul. Alpejska 16,222771101,lo26.edupage.org,lo26@eduwarszawa.pl
XXV Liceum Ogólnokształcące im. Józefa Wybickiego,liceum ogólnokształcące,Wawer,ul. Halna 20,222772012,www.wybicki.net.pl,lo25@eduwarszawa.pl
"CLXIII Liceum Ogólnokształcące im. Czesława Niemena, inna lokalizacja prowadzenia zajęć (szkoła), ul. Klimatyczna (Wesoła) 1",liceum ogólnokształcące,Wesoła,ul. Klimatyczna (Wesoła) 1,227733527,www.163lo.waw.pl,sekretariat.lo163@eduwarszawa.pl
CLXIII Liceum Ogólnokształcące im. Czesława Niemena,liceum ogólnokształcące,Wesoła,ul. Klimatyczna (Wesoła) 1,227733527,www.163lo.waw.pl,sekretariat.lo163@eduwarszawa.pl
CLIX Liceum Ogólnokształcące im. Króla Jana III Sobieskiego,liceum ogólnokształcące,Włochy,ul. Solipska 17/19,228637787,solipska.edupage.org,CLIX@eduwarszawa.pl
CXIX Liceum Ogólnokształcące im. Jacka Kuronia,liceum ogólnokształcące,Wola,ul. Złota 58,226201141,www.lokuronia.edu.pl,lo119@eduwarszawa.pl
"LXXXVI Liceum Ogólnokształcące im. Batalionu ""Zośka""",liceum ogólnokształcące,Wola,ul. Kajetana Garbińskiego 1,228364838,zoska.edupage.org,wsiwek@eduwarszawa.pl
XLV Liceum Ogólnokształcące im. Romualda Traugutta,liceum ogólnokształcące,Wola,ul. Miła 26,228383532,www.traugutt.edu.pl,sekretariat.lo45@eduwarszawa.pl
XL Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Żeromskiego,liceum ogólnokształcące,Wola,ul. Platynowa 1,226209968,www.zeromski.waw.pl,lo40.zeromski@eduwarszawa.pl
XXXIII Liceum Ogólnokształcące Dwujęzyczne im. Mikołaja Kopernika,liceum ogólnokształcące,Wola,ul. Józefa Bema 76,226327570,kopernik.edu.pl,szkola@kopernik.edu.pl
XXX Liceum Ogólnokształcące im. Jana Śniadeckiego,liceum ogólnokształcące,Wola,ul. Wolność 1/3,228385082,www.sniadek.edu.pl,sekretariat.lo30@eduwarszawa.pl
XXIV Liceum Ogólnokształcące im. Cypriana Kamila Norwida,liceum ogólnokształcące,Wola,ul. Obozowa 60,228364292,www.norwid.waw.pl,sekretariat.lo24@eduwarszawa.pl
XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,liceum ogólnokształcące,Wola,ul. Sienna 53,226208260,www.12lo.warszawa.pl,sekretariat.lo12@eduwarszawa.pl
III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,liceum ogólnokształcące,Wola,ul. Rogalińska 2,226320753,www.lo3.waw.ids.pl,lo3@eduwarszawa.pl
"LXIV Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza ""Witkacego""",liceum ogólnokształcące,Żoliborz,ul. Elbląska 51,226332404,www.liceum64.pl,lo64@eduwarszawa.pl
XVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefanii Sempołowskiej,liceum ogólnokształcące,Żoliborz,ul. ks. Jerzego Popiełuszki 5,226636894,www.sempolowska.eu,lo16@eduwarszawa.pl
I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,liceum ogólnokształcące,Żoliborz,ul. Alojzego Felińskiego 15,228394813,jedynka.org,jedynka.lo1@eduwarszawa.pl
